0,0,0,0,0,0,0,0,3379,3380,1469,791
0,0,0,0,0,0,0,0,0,1,2044,2045
0,0,0,0,0,130,869,374,4,60,15,1627
0,0,0,0,0,0,0,0,0,126,305,89
0,0,0,0,0,0,0,0,0,827,86,27
0,0,0,0,0,0,0,0,0,0,18,56
0,0,0,0,0,0,0,0,0,0,0,773
0,0,0,0,0,0,0,1748,605,22,129,3
0,0,0,0,0,0,0,0,0,0,0,2499
0,0,0,0,0,0,0,0,0,0,1621,2102
0,0,0,0,0,0,0,0,1308,1,1309,3
0,0,0,0,0,0,0,0,0,3156,3157,98
0,0,0,0,0,0,0,0,0,0,337,1086
0,0,0,0,0,0,0,71,19,87,316,53
0,0,0,0,0,0,0,0,190,1455,1182,3174
0,0,0,0,0,0,0,0,0,1,2044,2045
0,0,0,0,0,0,0,70,13,1024,154,1025
0,0,0,0,0,0,0,0,0,0,28,387
0,0,0,0,0,0,0,161,401,1127,19,4
0,0,0,0,0,0,0,0,0,125,546,3
0,0,0,0,0,0,0,0,0,0,0,925
0,0,0,0,0,0,0,0,0,81,55,425
0,0,0,0,0,0,7,8,1,48,110,5
0,0,0,0,0,0,0,0,0,0,437,5
0,0,0,0,0,0,0,0,0,41,17,786
0,0,0,0,0,0,0,0,0,0,688,3
0,0,0,0,0,0,0,0,0,49,44,94
0,0,0,0,0,0,744,979,5,1653,2,55
0,0,0,0,0,0,0,488,247,1874,1,1875
0,0,0,0,0,0,0,0,0,259,149,3
0,0,0,0,1628,912,1629,4,1167,370,1,451
0,0,0,0,0,0,0,0,0,0,1529,191
0,0,0,0,0,0,0,0,1468,298,1469,2680
0,0,0,0,0,0,0,0,0,1296,302,9
0,0,0,0,0,0,0,0,0,0,28,63
0,0,0,0,0,0,0,0,0,2317,95,491
0,0,0,0,0,0,0,0,0,225,645,1140
0,0,0,0,0,0,0,0,0,0,291,231
0,0,0,0,0,0,0,0,0,0,10,1076
0,0,0,0,0,0,0,0,364,2,1,2011
0,0,0,0,0,0,0,67,2,1,153,169
0,0,0,0,0,0,0,0,0,102,19,9
0,0,0,0,0,0,0,0,0,1531,181,22
0,0,0,0,0,0,0,0,0,1064,9,24
0,0,0,0,0,0,0,452,21,403,696,140
0,0,0,0,0,0,0,0,0,0,0,2681
0,0,0,0,0,0,0,0,0,890,48,3309
0,0,0,0,0,235,2,1,289,222,838,423
0,0,0,0,0,0,0,249,1673,3427,505,3428
0,0,0,0,0,0,0,0,0,0,1855,3
0,0,0,0,0,0,0,0,0,0,59,781
0,0,0,0,0,0,0,0,0,0,2715,269
0,0,0,0,0,0,1,94,2,729,121,1198
0,0,0,0,0,0,0,0,0,120,34,143
0,0,0,0,0,0,0,0,0,3744,3745,3746
0,0,0,0,0,0,0,0,0,0,0,735
0,0,0,0,0,0,0,0,0,1,50,4
0,0,0,0,0,0,0,0,0,0,615,45
0,0,0,0,0,0,0,0,0,88,45,1114
0,0,0,0,0,0,0,33,15,30,528,331
0,0,0,0,0,0,0,0,416,6,168,204
0,0,0,0,0,0,0,0,0,0,355,126
0,0,0,0,0,0,0,0,0,339,1607,179
0,0,0,0,0,0,0,0,0,264,662,142
0,0,0,0,0,0,0,0,0,536,20,1071
0,0,0,0,0,0,0,0,0,0,0,1349
0,0,0,0,0,0,0,0,385,386,1,540
0,0,0,0,0,0,0,0,0,59,1517,664
0,0,0,0,0,0,0,0,0,497,216,115
0,0,0,0,0,0,0,0,0,174,129,1785
0,0,0,0,0,0,0,0,0,0,0,579
0,0,0,0,0,0,24,191,3,431,1,878
0,0,0,0,0,0,0,2195,1,841,2,3259
0,0,0,0,0,0,0,0,0,0,1822,453
0,0,0,0,0,0,0,0,0,3519,1678,632
0,0,0,54,21,304,209,3,371,2,1,2473
0,0,0,0,0,0,0,0,0,41,17,109
0,0,0,0,0,0,0,0,0,818,731,1926
0,0,0,0,0,0,0,0,0,0,1320,4
0,0,0,0,0,0,0,0,0,0,2127,313
0,0,0,0,0,0,0,0,1670,1671,1,22
0,0,0,0,0,0,0,0,0,34,70,13
0,0,0,0,0,0,0,0,6,29,14,104
0,0,0,0,0,0,0,0,1,16,181,359
0,0,0,0,0,0,0,0,0,0,0,350
0,0,0,0,0,0,0,0,0,102,2248,626
0,0,0,2884,2885,1,488,2,1,2886,2887,2888
0,0,0,0,0,0,0,0,49,44,1632,2154
0,0,0,0,0,0,0,0,0,34,419,356
0,0,0,0,0,326,392,510,1,67,2,1238
0,0,0,0,0,0,0,0,0,41,17,108
0,0,0,0,0,0,0,0,0,7,931,632
0,0,0,0,0,0,0,0,0,18,14,104
0,0,0,0,0,0,0,0,74,92,200,3
0,0,0,0,0,0,0,0,0,24,154,391
0,0,0,0,0,0,0,287,315,1,1378,1794
0,0,0,0,0,0,0,0,183,184,202,118
0,0,0,0,0,0,0,0,0,902,763,451
0,0,0,0,0,0,0,0,0,0,1,50
0,0,0,0,0,0,0,0,0,49,44,424
0,0,0,0,0,0,0,0,0,0,10,779
0,0,0,0,0,0,0,0,0,0,91,299
0,0,0,0,0,0,0,0,0,259,149,4
0,0,0,0,0,0,0,0,134,13,311,51
0,0,0,0,0,0,0,0,0,134,13,2549
0,0,0,0,0,0,0,0,0,0,0,3800
0,0,0,0,0,0,0,0,0,1,2054,346
0,0,0,0,0,0,0,0,1021,159,1630,3092
0,0,0,0,0,0,0,0,513,2938,2,292
0,0,0,0,0,0,0,0,1,3424,3425,661
0,0,0,0,0,0,0,0,0,148,477,5
0,0,0,0,0,0,0,0,0,81,55,3
0,0,0,0,0,0,0,0,0,0,291,683
0,0,0,0,0,0,0,0,0,0,0,1515
0,0,0,0,0,0,1,1096,50,31,1,105
0,0,0,0,0,0,0,0,28,571,327,465
0,0,0,0,0,0,0,0,0,0,137,565
0,0,0,0,0,0,0,0,0,182,251,1901
0,0,0,0,0,0,0,0,96,97,37,1332
0,0,0,0,0,0,0,0,0,0,606,2191
0,0,0,0,0,0,0,1133,3,6,31,1134
